# wx wy wz w Lxx Lyy Lzz
  -1.6169142022800138E-002  -7.3307972718291434E-004   4.1595327716176606E-002   4.4633505883540196E-002  -617.50509600671103       -418.37101698216918        273.17434807988224     
   1.2540782316170489E-003  -2.0159559629214030E-003  -7.4753401823648442E-003   7.8433093460307038E-003  -229.50337629230413       -284.05874335086105       -151.75500517178813     
   4.9433767550040829E-003   5.1222320443529354E-003  -3.1661305805895504E-002   3.2451695182109407E-002  -664.16870670136052        1247.2661122817606       -606.30101089770369     
   7.0249502512534888E-004  -1.4767499037055330E-003   1.0101166478484427E-002   1.0232685559738346E-002   592.87288245525792       -399.87910521973009        288.67413975618939     
  -1.0771566388246390E-002  -8.5542579718393338E-004   2.7913653040093883E-002   2.9932096849262492E-002  -377.44766150676719       -291.62442713639268        185.31496436459662     
   6.4997713469515011E-003  -2.2750526595001950E-003  -2.0884029543970731E-002   2.1990124650842546E-002   8.9349410728743859       -290.96966561118330       -208.87055872972414     
  -7.5814361108523891E-004   9.1458644112127417E-004   2.6849449788276490E-003   2.9360142425819478E-003 -0.90771334952022009        149.42001927895427        22.648348480480806     
   6.4380490374789552E-003   1.2949182710417107E-003  -1.3212387847657457E-002   1.4754405490381093E-002   325.66042858253178        39.597410843658906       -286.14799480601806     
  -9.8702674140750870E-003   2.9326231112464089E-004   3.3585308325892252E-002   3.5006872424621513E-002   187.52729802280425       -122.44314310944580        426.25357674154594     
   1.1830386583916339E-002  -3.3420341159729077E-003  -3.7246483883877350E-002   3.9222796948575320E-002  -359.84815107544750       -252.72899889543737       -536.28757664280442     
   6.7798654215221934E-003   9.9325255919363283E-004  -1.2556539720362227E-002   1.4304538284381335E-002   556.59425134156095        257.78275918265507       -20.896205336698770     
  -6.2169358956904140E-003  -2.5061451240355049E-004   1.9338851382415090E-002   2.0315124226942084E-002  -266.36322033954809       -143.44040272428015        146.11246960864455     
   2.2311287163541580E-003   5.9079333915200358E-003  -9.6387494512714667E-004   6.3883227233305492E-003   241.32705340102837        753.25647671066099        39.043380980133698     
   1.1562482492843751E-002   3.3512070226255925E-003  -3.2177553843128454E-002   3.4355735492538127E-002   299.83957979007010        398.85980100722350       -245.72422868616624     
  -9.0313782443467577E-003   2.2813512328907688E-003   2.7989218630340984E-002   2.9498588372620458E-002  -166.94191401923857        386.57437911044258        250.29946701236935     
